idx,split
1917,train
7355,train
2291,train
4156,train
5898,train
1295,train
6130,train
2382,train
8705,train
35,train
771,train
9258,train
2859,train
3730,train
6094,train
6709,train
7412,train
2182,train
5501,train
9161,train
1079,train
8517,train
6559,train
7954,train
8496,train
9967,train
6596,train
7735,train
1224,train
2552,train
8449,train
7167,train
586,train
7999,train
7655,train
1401,train
9377,train
4420,train
7781,train
9628,train
3883,train
4175,train
473,train
4607,train
9405,train
3358,train
7350,train
9706,train
9147,train
8248,train
4375,train
3344,train
1448,train
3514,train
3602,train
4172,train
9528,train
4330,train
8474,train
1554,train
3379,train
9913,train
1921,train
9472,train
9066,train
5213,train
428,train
6201,train
7434,train
5504,train
9629,train
4532,train
1325,train
9202,train
9165,train
7777,train
9911,train
2934,train
5678,train
2980,train
2646,train
990,train
6788,train
2809,train
5696,train
5003,train
4347,train
814,train
8324,train
5374,train
9420,train
8416,train
1234,train
5131,train
3899,train
7678,train
3891,train
1286,train
3437,train
5855,train
1487,train
356,train
329,train
6866,train
105,train
3462,train
9448,train
2356,train
4051,train
8062,train
4116,train
5320,train
7763,train
7383,train
4677,train
4867,train
8891,train
5067,train
2797,train
6934,train
8716,train
2571,train
29,train
9719,train
1888,train
3366,train
1652,train
6741,train
603,train
4479,train
4982,train
9785,train
2785,train
7179,train
9096,train
7071,train
580,train
6805,train
889,train
9644,train
9137,train
4722,train
393,train
7748,train
953,train
6111,train
2725,train
2138,train
8534,train
2453,train
9877,train
6708,train
8336,train
4545,train
5946,train
722,train
5083,train
8075,train
955,train
9893,train
2891,train
3869,train
5063,train
5777,train
7296,train
2820,train
7645,train
7482,train
9049,train
8194,train
7562,train
5807,train
5945,train
6831,train
5566,train
5689,train
5910,train
8949,train
3071,train
4813,train
3161,train
1790,train
4056,train
7776,train
3993,train
7542,train
9721,train
6694,train
7492,train
2722,train
4436,train
1991,train
1090,train
8350,train
3616,train
3818,train
5303,train
5711,train
9861,train
1965,train
1514,train
9776,train
4928,train
8202,train
6093,train
1460,train
2218,train
2041,train
6991,train
8771,train
1419,train
7885,train
3382,train
2708,train
5244,train
7354,train
3949,train
493,train
5568,train
5286,train
5520,train
6863,train
619,train
9166,train
9000,train
3936,train
3625,train
7599,train
3548,train
9656,train
4707,train
5417,train
2407,train
31,train
6001,train
5574,train
1831,train
9464,train
5098,train
2931,train
3703,train
8502,train
7106,train
6202,train
9716,train
9734,train
4335,train
2506,train
7551,train
7351,train
9029,train
1525,train
1431,train
5675,train
5227,train
6375,train
9919,train
9601,train
6436,train
2848,train
6629,train
3726,train
5023,train
5813,train
4290,train
224,train
7654,train
1042,train
9279,train
8279,train
4061,train
8109,train
7376,train
5510,train
2370,train
7668,train
7881,train
3876,train
9534,train
2493,train
7772,train
7345,train
7021,train
5670,train
9048,train
6939,train
8592,train
508,train
3069,train
7580,train
5255,train
973,train
7129,train
9145,train
6113,train
8135,train
7724,train
5899,train
3210,train
670,train
7497,train
6247,train
8289,train
5341,train
6176,train
1722,train
1726,train
9068,train
3324,train
1987,train
8384,train
8148,train
460,train
5367,train
7168,train
381,train
7898,train
1015,train
6459,train
1795,train
9541,train
3906,train
2679,train
3212,train
9682,train
4470,train
4993,train
2845,train
9395,train
3099,train
4445,train
9020,train
101,train
3266,train
5742,train
7340,train
3603,train
6508,train
3152,train
1004,train
755,train
7861,train
88,train
1625,train
1197,train
579,train
1068,train
4801,train
1244,train
9155,train
4089,train
5369,train
7314,train
7095,train
3888,train
894,train
6595,train
357,train
4558,train
3383,train
3843,train
686,train
3180,train
9312,train
9245,train
7790,train
1162,train
2718,train
2247,train
9329,train
7606,train
8376,train
4136,train
6830,train
2462,train
3137,train
2989,train
5379,train
8318,train
3807,train
9297,train
9454,train
5688,train
8884,train
6601,train
1986,train
248,train
745,train
6938,train
5648,train
4233,train
617,train
5271,train
1254,train
3874,train
6560,train
2787,train
9128,train
2180,train
997,train
5806,train
9543,train
8781,train
2410,train
4493,train
9542,train
1434,train
5780,train
6820,train
7634,train
3845,train
3813,train
5171,train
8292,train
563,train
1666,train
6196,train
1913,train
3241,train
2297,train
7757,train
8427,train
5155,train
605,train
6638,train
8446,train
6850,train
2288,train
7490,train
1768,train
7449,train
4766,train
8902,train
5104,train
4629,train
4960,train
2941,train
4863,train
4859,train
4757,train
9460,train
3242,train
9518,train
789,train
8267,train
4407,train
6881,train
8477,train
4812,train
8087,train
5173,train
8008,train
3023,train
4215,train
2652,train
3839,train
4446,train
5561,train
5151,train
6568,train
5933,train
5858,train
2408,train
607,train
1974,train
1663,train
5844,train
452,train
9884,train
2703,train
6841,train
4774,train
1755,train
6213,train
9610,train
8745,train
9775,train
4164,train
7226,train
5443,train
5508,train
1376,train
9816,train
5924,train
6766,train
9608,train
2404,train
9565,train
2971,train
9838,train
9529,train
3516,train
5021,train
2464,train
9180,train
1527,train
1978,train
6428,train
1097,train
956,train
5228,train
1736,train
5353,train
2537,train
2056,train
8386,train
3232,train
3690,train
5791,train
2521,train
4048,train
5750,train
1955,train
6316,train
9208,train
120,train
7435,train
2349,train
4576,train
7385,train
1539,train
9546,train
2151,train
9114,train
972,train
6506,train
8251,train
8419,train
2514,train
2835,train
4779,train
7336,train
5376,train
3150,train
4711,train
7674,train
3401,train
8595,train
5726,train
7727,train
6710,train
6381,train
2585,train
5439,train
3251,train
4074,train
2987,train
7864,train
6034,train
1192,train
1891,train
700,train
7484,train
9372,train
6406,train
4300,train
987,train
1303,train
2504,train
3541,train
4155,train
2031,train
321,train
7834,train
7950,train
2116,train
5215,train
2998,train
1581,train
8779,train
5473,train
1301,train
6717,train
5206,train
555,train
480,train
5262,train
4892,train
3131,train
476,train
3525,train
5418,train
70,train
982,train
7080,train
1617,train
4437,train
255,train
5537,train
1033,train
5992,train
1653,train
1967,train
30,train
5479,train
300,train
9945,train
6729,train
1825,train
9926,train
1145,train
4202,train
2419,train
2519,train
4871,train
8475,train
2803,train
8056,train
7267,train
9932,train
2546,train
8256,train
5409,train
7558,train
8408,train
6145,train
5661,train
5266,train
4894,train
5587,train
7853,train
3332,train
1859,train
9036,train
7025,train
4050,train
3349,train
2520,train
4726,train
7208,train
3193,train
6575,train
888,train
3664,train
5718,train
2275,train
4979,train
4265,train
9353,train
3944,train
2214,train
8455,train
9177,train
9509,train
3314,train
4544,train
1948,train
1226,train
4015,train
5909,train
7003,train
6318,train
4689,train
8668,train
3526,train
9079,train
6972,train
1428,train
9891,train
3534,train
1847,train
4945,train
7642,train
1045,train
1485,train
3078,train
9754,train
8579,train
8173,train
5876,train
7053,train
1155,train
5194,train
5431,train
1837,train
5975,train
3481,train
8712,train
4793,train
9977,train
462,train
123,train
7121,train
1413,train
9400,train
426,train
2958,train
4675,train
1165,train
6358,train
8188,train
7116,train
4207,train
4124,train
9112,train
5458,train
3240,train
111,train
8110,train
8699,train
7475,train
1645,train
6774,train
6472,train
1651,train
2455,train
9235,train
7783,train
2145,train
7675,train
1321,train
8083,train
2992,train
9482,train
8707,train
6400,train
6862,train
4283,train
1829,train
9446,train
1526,train
880,train
7325,train
3882,train
6643,train
7444,train
9252,train
8162,train
470,train
6505,train
8460,train
8401,train
5188,train
6330,train
3453,train
4569,train
3768,train
5662,train
7000,train
5468,train
673,train
4878,train
2024,train
7821,train
3893,train
3510,train
1720,train
1441,train
1455,train
9901,train
5632,train
872,train
3798,train
951,train
4046,train
65,train
8732,train
9133,train
9366,train
9607,train
5108,train
9614,train
5869,train
146,train
1621,train
1105,train
2444,train
468,train
6321,train
6945,train
7304,train
3594,train
5346,train
8844,train
2866,train
4017,train
2414,train
6102,train
4939,train
647,train
3773,train
7792,train
8500,train
4639,train
5516,train
1898,train
6616,train
5122,train
2113,train
9015,train
3184,train
6646,train
662,train
6520,train
3445,train
9158,train
4947,train
6427,train
6243,train
7686,train
5667,train
4853,train
9517,train
8593,train
2427,train
5182,train
785,train
9240,train
1378,train
3489,train
8285,train
6912,train
6905,train
6743,train
4764,train
9539,train
4095,train
6917,train
3589,train
578,train
6220,train
3784,train
7480,train
4455,train
5485,train
8509,train
4248,train
6136,train
7073,train
2346,train
2973,train
4592,train
198,train
254,train
879,train
8091,train
4303,train
4609,train
5828,train
8424,train
6148,train
5669,train
9352,train
8396,train
3472,train
9459,train
9171,train
6452,train
593,train
1380,train
2939,train
179,train
6040,train
4165,train
3419,train
7085,train
3373,train
6250,train
7600,train
7796,train
7416,train
9505,train
7866,train
5030,train
3762,train
4701,train
6780,train
8343,train
3682,train
4075,train
8278,train
6989,train
575,train
9875,train
1449,train
2721,train
5683,train
126,train
1697,train
8797,train
2798,train
1765,train
1775,train
4567,train
3420,train
7921,train
2082,train
7429,train
6681,train
6192,train
4854,train
1063,train
6703,train
6715,train
1895,train
6685,train
3816,train
7964,train
3861,train
1563,train
3546,train
3809,train
1532,train
1071,train
4,train
447,train
1402,train
8656,train
9617,train
6337,train
9474,train
7931,train
562,train
2914,train
4311,train
1489,train
7850,train
9222,train
3947,train
4706,train
9203,train
2877,train
7283,train
7499,train
5114,train
8323,train
3228,train
4627,train
2799,train
2313,train
3518,train
7798,train
9074,train
6461,train
9302,train
853,train
9414,train
9327,train
6235,train
4334,train
7060,train
5934,train
9410,train
9739,train
5526,train
8235,train
7865,train
4748,train
8687,train
527,train
8161,train
6124,train
9827,train
2133,train
4412,train
4387,train
3683,train
2550,train
7517,train
3428,train
9378,train
9429,train
7214,train
6485,train
566,train
444,train
4078,train
7912,train
2232,train
9514,train
6215,train
1255,train
4752,train
8382,train
6253,train
3091,train
7372,train
9301,train
1169,train
7682,train
1561,train
2387,train
9667,train
4991,train
2354,train
5399,train
3630,train
5420,train
1300,train
386,train
1836,train
513,train
7851,train
796,train
7052,train
3328,train
5222,train
772,train
3416,train
7901,train
8504,train
5438,train
7399,train
4355,train
5752,train
4474,train
6918,train
7741,train
1372,train
4788,train
8586,train
1184,train
626,train
7254,train
974,train
3775,train
677,train
201,train
9229,train
16,train
2101,train
9494,train
4065,train
6053,train
3716,train
8167,train
624,train
9882,train
5102,train
6014,train
6538,train
6193,train
1767,train
28,train
9696,train
2936,train
1018,train
3777,train
7353,train
7186,train
7886,train
3687,train
1277,train
4666,train
6384,train
6615,train
9194,train
7563,train
7828,train
5602,train
9195,train
9962,train
8150,train
9055,train
2342,train
5280,train
472,train
2095,train
6515,train
9375,train
5229,train
5110,train
8218,train
3262,train
7339,train
3064,train
4128,train
2364,train
1104,train
5837,train
8051,train
1232,train
4700,train
2099,train
8034,train
692,train
4751,train
732,train
8741,train
2300,train
6947,train
9930,train
8888,train
6338,train
7836,train
9611,train
3685,train
4695,train
8240,train
3422,train
9832,train
9873,train
8676,train
1644,train
3487,train
3628,train
7415,train
1843,train
8597,train
8440,train
69,train
5413,train
9404,train
5424,train
4820,train
4635,train
671,train
7137,train
3073,train
4492,train
2301,train
7801,train
335,train
1353,train
1870,train
2052,train
7466,train
3149,train
9652,train
1557,train
6009,train
3758,train
6702,train
6283,train
3635,train
7414,train
6261,train
3042,train
2871,train
6853,train
3503,train
3793,train
2685,train
5630,train
4282,train
3815,train
196,train
2209,train
5517,train
9954,train
7264,train
7987,train
3788,train
7464,train
9498,train
3167,train
6924,train
1387,train
239,train
9702,train
4304,train
8819,train
5197,train
330,train
778,train
3654,train
1291,train
1246,train
4589,train
328,train
2467,train
7982,train
1848,train
9113,train
7977,train
4632,train
5636,train
5817,train
631,train
7465,train
6074,train
9835,train
3806,train
5604,train
1049,train
8271,train
9898,train
4297,train
5964,train
8929,train
3827,train
9451,train
4120,train
703,train
1464,train
8606,train
7079,train
2648,train
4656,train
8243,train
1239,train
8462,train
1053,train
4271,train
4728,train
1935,train
7161,train
5081,train
1221,train
8480,train
2273,train
3894,train
1257,train
678,train
9167,train
9691,train
95,train
8272,train
1474,train
2011,train
9654,train
5234,train
1579,train
1754,train
5852,train
9017,train
1088,train
2140,train
790,train
3101,train
7688,train
9326,train
6744,train
4900,train
620,train
7133,train
265,train
1571,train
608,train
5237,train
6409,train
4113,train
2269,train
6445,train
4699,train
8556,train
4847,train
270,train
6964,train
9986,train
4843,train
840,train
2933,train
4780,train
6552,train
6099,train
651,train
9052,train
7539,train
9386,train
9972,train
2774,train
6627,train
641,train
4661,train
2777,train
9207,train
8726,train
1432,train
621,train
2544,train
8768,train
3695,train
8231,train
9484,train
2723,train
2892,train
3935,train
4460,train
1968,train
8786,train
1865,train
2538,train
3115,train
3631,train
5657,train
1918,train
3745,train
1280,train
5707,train
7991,train
8372,train
3424,train
9338,train
347,train
7127,train
9434,train
2188,train
142,train
3918,train
4423,train
3581,train
9635,train
1093,train
1885,train
7937,train
8710,train
1217,train
6686,train
7072,train
2732,train
454,train
6273,train
6344,train
3757,train
292,train
4151,train
1884,train
7660,train
9730,train
571,train
6199,train
8951,train
4768,train
4564,train
6289,train
8002,train
4678,train
1036,train
8354,train
3488,train
3500,train
6776,train
453,train
5364,train
429,train
6915,train
1603,train
8599,train
2603,train
4103,train
8176,train
6554,train
5045,train
1997,train
3583,train
5785,train
3183,train
3464,train
3386,train
4012,train
5804,train
4419,train
197,train
6026,train
3387,train
1858,train
4645,train
8357,train
4615,train
6995,train
9198,train
9878,train
4034,train
3165,train
8206,train
5613,train
6279,train
5542,train
9398,train
8450,train
663,train
5497,train
7591,train
1313,train
5821,train
9808,train
2211,train
2027,train
6704,train
7443,train
2267,train
5310,train
5980,train
4794,train
9985,train
9863,train
3168,train
2915,train
8214,train
1834,train
2090,train
7823,train
420,train
3313,train
9306,train
3474,train
7524,train
3814,train
8409,train
7856,train
2276,train
7614,train
9907,train
933,train
3898,train
4485,train
1687,train
6606,train
1327,train
6585,train
8155,train
2326,train
6870,train
61,train
4844,train
3989,train
1954,train
3108,train
3808,train
7669,train
8058,train
9843,train
6285,train
10006,train
8501,train
4382,train
1391,train
2307,train
5412,train
6367,train
1384,train
5664,train
1046,train
5941,train
6031,train
2659,train
3860,train
829,train
2694,train
4887,train
7163,train
6097,train
4348,train
3059,train
2788,train
3925,train
6583,train
2528,train
7860,train
6887,train
3533,train
6966,train
7685,train
6731,train
1196,train
1047,train
2701,train
5579,train
4649,train
5099,train
9370,train
6002,train
9904,train
2711,train
8011,train
2375,train
5847,train
3286,train
9968,train
9738,train
3990,train
8029,train
854,train
3821,train
748,train
6355,train
642,train
1385,train
6750,train
5685,train
2775,train
8476,train
5548,train
8898,train
253,train
7859,train
783,train
7159,train
8507,train
4222,train
9388,train
3264,train
1786,train
487,train
6603,train
7764,train
6126,train
3942,train
7596,train
3692,train
7084,train
896,train
1139,train
2974,train
950,train
7056,train
6431,train
4522,train
9663,train
7037,train
8956,train
1069,train
9369,train
1846,train
8274,train
6120,train
1370,train
5498,train
9184,train
5276,train
9655,train
9857,train
7753,train
5130,train
7293,train
166,train
6614,train
2235,train
6405,train
9657,train
4328,train
1732,train
2153,train
8784,train
9360,train
3740,train
440,train
8277,train
849,train
2790,train
87,train
4388,train
9283,train
1511,train
5480,train
1588,train
8080,train
4851,train
5331,train
3107,train
9569,train
6362,train
4276,train
3320,train
3433,train
193,train
7585,train
269,train
2826,train
9845,train
7157,train
5781,train
1976,train
3461,train
2882,train
1709,train
3008,train
9574,train
2367,train
9013,train
358,train
7760,train
935,train
681,train
7448,train
6424,train
2200,train
9046,train
9004,train
1123,train
6893,train
2350,train
1682,train
6532,train
5609,train
7243,train
6620,train
2806,train
6332,train
7946,train
6593,train
7868,train
8573,train
2601,train
7858,train
9598,train
1379,train
3565,train
6223,train
8669,train
5300,train
8832,train
5356,train
4376,train
3475,train
7569,train
336,train
3438,train
3214,train
2037,train
2622,train
945,train
234,train
1924,train
7096,train
7731,train
85,train
1993,train
1267,train
9662,train
2689,train
9592,train
8044,train
7311,train
5624,train
79,train
9196,train
6008,train
6114,train
5836,train
1133,train
5165,train
9122,train
5230,train
5897,train
160,train
9795,train
807,train
7523,train
2855,train
1914,train
2904,train
9439,train
4064,train
5955,train
7407,train
8140,train
835,train
8013,train
4431,train
1149,train
483,train
3511,train
4384,train
1462,train
1263,train
1648,train
5465,train
4323,train
2187,train
9636,train
1074,train
3447,train
2339,train
3130,train
546,train
2505,train
7308,train
5795,train
9642,train
8873,train
5790,train
1509,train
5949,train
5502,train
7164,train
3088,train
2592,train
9231,train
3,train
4967,train
3109,train
2381,train
2594,train
5026,train
3392,train
7222,train
2435,train
3181,train
495,train
2042,train
6294,train
9510,train
3136,train
212,train
3095,train
7664,train
5368,train
3854,train
1000,train
1851,train
3529,train
1988,train
6397,train
8837,train
524,train
2259,train
1881,train
7234,train
8039,train
4959,train
8415,train
413,train
2656,train
7463,train
6935,train
7131,train
4913,train
1194,train
4927,train
4126,train
9146,train
7063,train
8610,train
3094,train
6944,train
499,train
9750,train
8969,train
9538,train
1157,train
1595,train
658,train
6194,train
3381,train
792,train
5972,train
8821,train
8733,train
5973,train
9747,train
4242,train
3643,train
7915,train
6151,train
6513,train
4709,train
939,train
8098,train
705,train
3092,train
2687,train
2645,train
4796,train
4084,train
8799,train
3612,train
8329,train
2212,train
5226,train
6521,train
2851,train
9987,train
5959,train
290,train
6574,train
7720,train
5995,train
3365,train
2905,train
1009,train
4295,train
5260,train
3720,train
2959,train
8139,train
961,train
2271,train
4595,train
4250,train
8089,train
6327,train
2733,train
7627,train
2949,train
1493,train
2608,train
9963,train
1208,train
1667,train
5496,train
6308,train
8143,train
7406,train
1305,train
5578,train
8123,train
7598,train
5841,train
9821,train
4585,train
986,train
9387,train
8378,train
8849,train
891,train
9903,train
3231,train
4686,train
3910,train
3316,train
7153,train
708,train
5147,train
5347,train
2716,train
67,train
1541,train
12,train
7607,train
2738,train
1905,train
3022,train
8280,train
4934,train
9902,train
6013,train
6705,train
319,train
9341,train
4738,train
7797,train
37,train
7697,train
2179,train
3991,train
9733,train
8230,train
8026,train
9914,train
609,train
2935,train
3146,train
8635,train
5256,train
2416,train
2229,train
9530,train
767,train
4518,train
2910,train
3872,train
141,train
9606,train
6628,train
655,train
380,train
1789,train
5773,train
9937,train
230,train
3215,train
8066,train
6225,train
4885,train
5905,train
4685,train
3074,train
525,train
1981,train
8320,train
7942,train
5915,train
4434,train
7927,train
805,train
9894,train
7504,train
7639,train
2195,train
9665,train
9143,train
5049,train
9129,train
5597,train
5725,train
5008,train
5460,train
5366,train
4029,train
7237,train
3063,train
1560,train
1035,train
1616,train
2434,train
8869,train
2498,train
6658,train
1680,train
3330,train
147,train
3258,train
118,train
6590,train
1077,train
667,train
2898,train
3917,train
9362,train
9525,train
2492,train
8505,train
9452,train
2194,train
405,train
6510,train
8827,train
2860,train
3375,train
1593,train
601,train
5391,train
817,train
4703,train
4108,train
9851,train
7061,train
8989,train
9547,train
9401,train
3623,train
9842,train
7453,train
5106,train
2315,train
4857,train
8791,train
6392,train
4241,train
6482,train
8875,train
2981,train
9384,train
2577,train
1023,train
3580,train
6340,train
4409,train
8713,train
3202,train
4298,train
6242,train
3665,train
5544,train
7813,train
9801,train
6761,train
8585,train
9064,train
2583,train
3803,train
8536,train
1409,train
3288,train
8394,train
3249,train
5097,train
1420,train
6536,train
1573,train
4970,train
3610,train
4306,train
2947,train
5279,train
3441,train
4040,train
4950,train
2522,train
7091,train
7949,train
2778,train
8758,train
6061,train
7175,train
2954,train
1506,train
9715,train
8735,train
4654,train
7939,train
6611,train
8211,train
9073,train
4941,train
8380,train
9595,train
4186,train
7905,train
5251,train
7702,train
9077,train
8683,train
7649,train
4826,train
7769,train
4417,train
1941,train
2295,train
8759,train
1458,train
3772,train
4218,train
4512,train
7209,train
9909,train
6983,train
689,train
3448,train
1623,train
8619,train
9976,train
406,train
9964,train
3417,train
6128,train
7187,train
2157,train
2210,train
9364,train
4531,train
9070,train
4980,train
4604,train
4424,train
2279,train
4416,train
7617,train
6276,train
7683,train
1572,train
1996,train
320,train
978,train
208,train
7266,train
4516,train
1283,train
1524,train
5123,train
3272,train
4855,train
5084,train
5891,train
7806,train
2233,train
7691,train
7967,train
3593,train
3713,train
8568,train
3985,train
5296,train
3783,train
3494,train
629,train
3187,train
897,train
214,train
5596,train
4299,train
1316,train
8492,train
5128,train
1362,train
4580,train
211,train
24,train
5805,train
6903,train
2625,train
2463,train
6798,train
5868,train
4307,train
8892,train
8783,train
6828,train
3027,train
6937,train
4524,train
4552,train
5722,train
8390,train
1882,train
6456,train
5001,train
944,train
3691,train
7258,train
9780,train
1878,train
2059,train
2612,train
1134,train
4822,train
1769,train
3047,train
1030,train
7403,train
1803,train
4337,train
7395,train
4396,train
1210,train
5514,train
4209,train
3684,train
9764,train
6678,train
7007,train
5212,train
4195,train
6511,train
3485,train
9054,train
7855,train
4838,train
4763,train
4371,train
8718,train
5927,train
2433,train
9100,train
9579,train
2296,train
806,train
9045,train
3230,train
3659,train
8565,train
9693,train
8557,train
6599,train
7500,train
4664,train
4135,train
4519,train
1109,train
1658,train
9684,train
3786,train
6078,train
5963,train
8290,train
4378,train
952,train
227,train
5936,train
6077,train
9737,train
6760,train
2499,train
3763,train
3606,train
6054,train
6006,train
273,train
6335,train
2258,train
9275,train
9772,train
9438,train
3188,train
5071,train
4702,train
7896,train
3362,train
6057,train
7708,train
5265,train
9380,train
4621,train
9376,train
6636,train
175,train
1037,train
8776,train
5823,train
8855,train
2368,train
8093,train
4063,train
5105,train
6630,train
1152,train
5452,train
1272,train
7075,train
6923,train
7277,train
223,train
6605,train
127,train
3498,train
8262,train
591,train
4884,train
8682,train
2619,train
9468,train
3030,train
9773,train
2751,train
9028,train
2002,train
6019,train
1973,train
5906,train
9093,train
4361,train
2631,train
6557,train
7239,train
2469,train
191,train
8309,train
457,train
9445,train
3607,train
6527,train
391,train
6490,train
6421,train
7330,train
7846,train
8967,train
7581,train
9503,train
5996,train
6090,train
3831,train
5404,train
9940,train
3463,train
5315,train
4987,train
2378,train
1340,train
8445,train
9880,train
8360,train
4594,train
4698,train
8130,train
5019,train
2058,train
6609,train
1528,train
6050,train
1006,train
6518,train
9310,train
403,train
4845,train
5981,train
7289,train
2021,train
1461,train
5875,train
5557,train
6670,train
3571,train
8736,train
47,train
4456,train
2217,train
5545,train
4503,train
6517,train
9489,train
2856,train
9949,train
2763,train
8351,train
9038,train
6453,train
9105,train
2488,train
6036,train
8625,train
3731,train
375,train
3557,train
9154,train
3647,train
7359,train
1868,train
959,train
6109,train
7873,train
5573,train
1397,train
9958,train
7789,train
5259,train
6477,train
5734,train
9361,train
2320,train
8441,train
6528,train
7525,train
2473,train
9840,train
8543,train
518,train
2865,train
8807,train
5794,train
7975,train
836,train
5477,train
5394,train
6052,train
2163,train
9381,train
390,train
4256,train
14,train
6579,train
397,train
310,train
7998,train
3374,train
1594,train
1676,train
7841,train
5518,train
5306,train
5732,train
7002,train
8237,train
2501,train
3573,train
7062,train
7299,train
9435,train
6567,train
8001,train
4988,train
1214,train
8675,train
8527,train
640,train
5710,train
1777,train
2128,train
2466,train
5377,train
9923,train
7032,train
131,train
9204,train
6328,train
5325,train
1307,train
4917,train
1072,train
7754,train
5957,train
4433,train
8637,train
3371,train
6661,train
2776,train
8829,train
1085,train
7920,train
2606,train
9389,train
2808,train
588,train
6079,train
1558,train
68,train
4174,train
623,train
6012,train
1349,train
3836,train
3179,train
8489,train
7024,train
1235,train
6813,train
6856,train
3849,train
1038,train
7456,train
5210,train
156,train
7573,train
7430,train
276,train
4301,train
8171,train
3045,train
4182,train
5447,train
8562,train
4978,train
5433,train
4270,train
7969,train
6379,train
3908,train
6578,train
5893,train
6600,train
2166,train
8429,train
5888,train
349,train
363,train
89,train
9867,train
9646,train
8298,train
9885,train
9025,train
1849,train
1279,train
9437,train
484,train
2730,train
4510,train
7392,train
965,train
8571,train
3198,train
299,train
9939,train
3662,train
2282,train
4130,train
4049,train
4852,train
9616,train
8086,train
9351,train
1662,train
2105,train
5428,train
8078,train
6759,train
1600,train
688,train
7677,train
4636,train
8007,train
3558,train
4139,train
940,train
4671,train
7324,train
5464,train
4968,train
2791,train
5152,train
8792,train
5348,train
5258,train
4377,train
7800,train
5935,train
2413,train
132,train
9412,train
332,train
9649,train
9852,train
1367,train
6257,train
1218,train
754,train
3175,train
6170,train
3044,train
5038,train
1252,train
5923,train
3676,train
354,train
9276,train
8616,train
6454,train
4148,train
9931,train
9423,train
7362,train
4014,train
4530,train
194,train
7461,train
9713,train
6329,train
2239,train
7623,train
3833,train
225,train
407,train
4588,train
3539,train
1696,train
