sentence_id,sentence,n_digits
b_280,large red 36,2
b_281,large blue 36,2
b_282,large green 36,2
b_283,large yellow 36,2
b_284,small red 36,2
b_285,small blue 36,2
b_286,small green 36,2
b_287,small yellow 36,2
b_288,large red 37,2
b_289,large blue 37,2
b_290,large green 37,2
b_291,large yellow 37,2
b_292,small red 37,2
b_293,small blue 37,2
b_294,small green 37,2
b_295,small yellow 37,2
b_296,large red 38,2
b_297,large blue 38,2
b_298,large green 38,2
b_299,large yellow 38,2
b_300,small red 38,2
b_301,small blue 38,2
b_302,small green 38,2
b_303,small yellow 38,2
b_304,large red 39,2
b_305,large blue 39,2
b_306,large green 39,2
b_307,large yellow 39,2
b_308,small red 39,2
b_309,small blue 39,2
b_310,small green 39,2
b_311,small yellow 39,2
b_312,large red 40,2
b_313,large blue 40,2
b_314,large green 40,2
b_315,large yellow 40,2
b_316,small red 40,2
b_317,small blue 40,2
b_318,small green 40,2
b_319,small yellow 40,2
b_320,large red 41,2
b_321,large blue 41,2
b_322,large green 41,2
b_323,large yellow 41,2
b_324,small red 41,2
b_325,small blue 41,2
b_326,small green 41,2
b_327,small yellow 41,2
b_328,large red 42,2
b_329,large blue 42,2
b_330,large green 42,2
b_331,large yellow 42,2
b_332,small red 42,2
b_333,small blue 42,2
b_334,small green 42,2
b_335,small yellow 42,2
b_336,large red 43,2
b_337,large blue 43,2
b_338,large green 43,2
b_339,large yellow 43,2
b_340,small red 43,2
b_341,small blue 43,2
b_342,small green 43,2
b_343,small yellow 43,2
b_344,large red 44,2
b_345,large blue 44,2
b_346,large green 44,2
b_347,large yellow 44,2
b_348,small red 44,2
b_349,small blue 44,2
b_350,small green 44,2
b_351,small yellow 44,2
b_352,large red 45,2
b_353,large blue 45,2
b_354,large green 45,2
b_355,large yellow 45,2
b_356,small red 45,2
b_357,small blue 45,2
b_358,small green 45,2
b_359,small yellow 45,2
b_360,large red 46,2
b_361,large blue 46,2
b_362,large green 46,2
b_363,large yellow 46,2
b_364,small red 46,2
b_365,small blue 46,2
b_366,small green 46,2
b_367,small yellow 46,2
b_368,large red 47,2
b_369,large blue 47,2
b_370,large green 47,2
b_371,large yellow 47,2
b_372,small red 47,2
b_373,small blue 47,2
b_374,small green 47,2
b_375,small yellow 47,2
b_376,large red 48,2
b_377,large blue 48,2
b_378,large green 48,2
b_379,large yellow 48,2
b_380,small red 48,2
b_381,small blue 48,2
b_382,small green 48,2
b_383,small yellow 48,2
b_384,large red 49,2
b_385,large blue 49,2
b_386,large green 49,2
b_387,large yellow 49,2
b_388,small red 49,2
b_389,small blue 49,2
b_390,small green 49,2
b_391,small yellow 49,2
b_392,large red 50,2
b_393,large blue 50,2
b_394,large green 50,2
b_395,large yellow 50,2
b_396,small red 50,2
b_397,small blue 50,2
b_398,small green 50,2
b_399,small yellow 50,2
b_400,large red 51,2
b_401,large blue 51,2
b_402,large green 51,2
b_403,large yellow 51,2
b_404,small red 51,2
b_405,small blue 51,2
b_406,small green 51,2
b_407,small yellow 51,2
b_408,large red 52,2
b_409,large blue 52,2
b_410,large green 52,2
b_411,large yellow 52,2
b_412,small red 52,2
b_413,small blue 52,2
b_414,small green 52,2
b_415,small yellow 52,2
b_416,large red 53,2
b_417,large blue 53,2
b_418,large green 53,2
b_419,large yellow 53,2
b_420,small red 53,2
b_421,small blue 53,2
b_422,small green 53,2
b_423,small yellow 53,2
b_424,large red 54,2
b_425,large blue 54,2
b_426,large green 54,2
b_427,large yellow 54,2
b_428,small red 54,2
b_429,small blue 54,2
b_430,small green 54,2
b_431,small yellow 54,2
b_432,large red 55,2
b_433,large blue 55,2
b_434,large green 55,2
b_435,large yellow 55,2
b_436,small red 55,2
b_437,small blue 55,2
b_438,small green 55,2
b_439,small yellow 55,2
b_440,large red 56,2
b_441,large blue 56,2
b_442,large green 56,2
b_443,large yellow 56,2
b_444,small red 56,2
b_445,small blue 56,2
b_446,small green 56,2
b_447,small yellow 56,2
b_448,large red 57,2
b_449,large blue 57,2
b_450,large green 57,2
b_451,large yellow 57,2
b_452,small red 57,2
b_453,small blue 57,2
b_454,small green 57,2
b_455,small yellow 57,2
b_456,large red 58,2
b_457,large blue 58,2
b_458,large green 58,2
b_459,large yellow 58,2
b_460,small red 58,2
b_461,small blue 58,2
b_462,small green 58,2
b_463,small yellow 58,2
b_464,large red 59,2
b_465,large blue 59,2
b_466,large green 59,2
b_467,large yellow 59,2
b_468,small red 59,2
b_469,small blue 59,2
b_470,small green 59,2
b_471,small yellow 59,2
b_472,large red 60,2
b_473,large blue 60,2
b_474,large green 60,2
b_475,large yellow 60,2
b_476,small red 60,2
b_477,small blue 60,2
b_478,small green 60,2
b_479,small yellow 60,2
b_480,large red 61,2
b_481,large blue 61,2
b_482,large green 61,2
b_483,large yellow 61,2
b_484,small red 61,2
b_485,small blue 61,2
b_486,small green 61,2
b_487,small yellow 61,2
b_488,large red 62,2
b_489,large blue 62,2
b_490,large green 62,2
b_491,large yellow 62,2
b_492,small red 62,2
b_493,small blue 62,2
b_494,small green 62,2
b_495,small yellow 62,2
b_496,large red 63,2
b_497,large blue 63,2
b_498,large green 63,2
b_499,large yellow 63,2
b_500,small red 63,2
b_501,small blue 63,2
b_502,small green 63,2
b_503,small yellow 63,2
b_504,large red 64,2
b_505,large blue 64,2
b_506,large green 64,2
b_507,large yellow 64,2
b_508,small red 64,2
b_509,small blue 64,2
b_510,small green 64,2
b_511,small yellow 64,2
b_512,large red 65,2
b_513,large blue 65,2
b_514,large green 65,2
b_515,large yellow 65,2
b_516,small red 65,2
b_517,small blue 65,2
b_518,small green 65,2
b_519,small yellow 65,2
b_520,large red 66,2
b_521,large blue 66,2
b_522,large green 66,2
b_523,large yellow 66,2
b_524,small red 66,2
b_525,small blue 66,2
b_526,small green 66,2
b_527,small yellow 66,2
b_528,large red 67,2
b_529,large blue 67,2
b_530,large green 67,2
b_531,large yellow 67,2
b_532,small red 67,2
b_533,small blue 67,2
b_534,small green 67,2
b_535,small yellow 67,2
b_536,large red 68,2
b_537,large blue 68,2
b_538,large green 68,2
b_539,large yellow 68,2
b_540,small red 68,2
b_541,small blue 68,2
b_542,small green 68,2
b_543,small yellow 68,2
b_544,large red 69,2
b_545,large blue 69,2
b_546,large green 69,2
b_547,large yellow 69,2
b_548,small red 69,2
b_549,small blue 69,2
b_550,small green 69,2
b_551,small yellow 69,2
b_552,large red 70,2
b_553,large blue 70,2
b_554,large green 70,2
b_555,large yellow 70,2
b_556,small red 70,2
b_557,small blue 70,2
b_558,small green 70,2
b_559,small yellow 70,2
b_560,large red 71,2
b_561,large blue 71,2
b_562,large green 71,2
b_563,large yellow 71,2
b_564,small red 71,2
b_565,small blue 71,2
b_566,small green 71,2
b_567,small yellow 71,2
b_568,large red 72,2
b_569,large blue 72,2
b_570,large green 72,2
b_571,large yellow 72,2
b_572,small red 72,2
b_573,small blue 72,2
b_574,small green 72,2
b_575,small yellow 72,2
b_576,large red 73,2
b_577,large blue 73,2
b_578,large green 73,2
b_579,large yellow 73,2
b_580,small red 73,2
b_581,small blue 73,2
b_582,small green 73,2
b_583,small yellow 73,2
b_584,large red 74,2
b_585,large blue 74,2
b_586,large green 74,2
b_587,large yellow 74,2
b_588,small red 74,2
b_589,small blue 74,2
b_590,small green 74,2
b_591,small yellow 74,2
b_592,large red 75,2
b_593,large blue 75,2
b_594,large green 75,2
b_595,large yellow 75,2
b_596,small red 75,2
b_597,small blue 75,2
b_598,small green 75,2
b_599,small yellow 75,2
b_600,large red 76,2
b_601,large blue 76,2
b_602,large green 76,2
b_603,large yellow 76,2
b_604,small red 76,2
b_605,small blue 76,2
b_606,small green 76,2
b_607,small yellow 76,2
b_608,large red 77,2
b_609,large blue 77,2
b_610,large green 77,2
b_611,large yellow 77,2
b_612,small red 77,2
b_613,small blue 77,2
b_614,small green 77,2
b_615,small yellow 77,2
b_616,large red 78,2
b_617,large blue 78,2
b_618,large green 78,2
b_619,large yellow 78,2
b_620,small red 78,2
b_621,small blue 78,2
b_622,small green 78,2
b_623,small yellow 78,2
b_624,large red 79,2
b_625,large blue 79,2
b_626,large green 79,2
b_627,large yellow 79,2
b_628,small red 79,2
b_629,small blue 79,2
b_630,small green 79,2
b_631,small yellow 79,2
b_632,large red 80,2
b_633,large blue 80,2
b_634,large green 80,2
b_635,large yellow 80,2
b_636,small red 80,2
b_637,small blue 80,2
b_638,small green 80,2
b_639,small yellow 80,2
b_640,large red 81,2
b_641,large blue 81,2
b_642,large green 81,2
b_643,large yellow 81,2
b_644,small red 81,2
b_645,small blue 81,2
b_646,small green 81,2
b_647,small yellow 81,2
b_648,large red 82,2
b_649,large blue 82,2
b_650,large green 82,2
b_651,large yellow 82,2
b_652,small red 82,2
b_653,small blue 82,2
b_654,small green 82,2
b_655,small yellow 82,2
b_656,large red 83,2
b_657,large blue 83,2
b_658,large green 83,2
b_659,large yellow 83,2
b_660,small red 83,2
b_661,small blue 83,2
b_662,small green 83,2
b_663,small yellow 83,2
b_664,large red 84,2
b_665,large blue 84,2
b_666,large green 84,2
b_667,large yellow 84,2
b_668,small red 84,2
b_669,small blue 84,2
b_670,small green 84,2
b_671,small yellow 84,2
b_672,large red 85,2
b_673,large blue 85,2
b_674,large green 85,2
b_675,large yellow 85,2
b_676,small red 85,2
b_677,small blue 85,2
b_678,small green 85,2
b_679,small yellow 85,2
b_680,large red 86,2
b_681,large blue 86,2
b_682,large green 86,2
b_683,large yellow 86,2
b_684,small red 86,2
b_685,small blue 86,2
b_686,small green 86,2
b_687,small yellow 86,2
b_688,large red 87,2
b_689,large blue 87,2
b_690,large green 87,2
b_691,large yellow 87,2
b_692,small red 87,2
b_693,small blue 87,2
b_694,small green 87,2
b_695,small yellow 87,2
b_696,large red 88,2
b_697,large blue 88,2
b_698,large green 88,2
b_699,large yellow 88,2
b_700,small red 88,2
b_701,small blue 88,2
b_702,small green 88,2
b_703,small yellow 88,2
b_704,large red 89,2
b_705,large blue 89,2
b_706,large green 89,2
b_707,large yellow 89,2
b_708,small red 89,2
b_709,small blue 89,2
b_710,small green 89,2
b_711,small yellow 89,2
b_712,large red 90,2
b_713,large blue 90,2
b_714,large green 90,2
b_715,large yellow 90,2
b_716,small red 90,2
b_717,small blue 90,2
b_718,small green 90,2
b_719,small yellow 90,2
b_720,large red 91,2
b_721,large blue 91,2
b_722,large green 91,2
b_723,large yellow 91,2
b_724,small red 91,2
b_725,small blue 91,2
b_726,small green 91,2
b_727,small yellow 91,2
b_728,large red 92,2
b_729,large blue 92,2
b_730,large green 92,2
b_731,large yellow 92,2
b_732,small red 92,2
b_733,small blue 92,2
b_734,small green 92,2
b_735,small yellow 92,2
b_736,large red 93,2
b_737,large blue 93,2
b_738,large green 93,2
b_739,large yellow 93,2
b_740,small red 93,2
b_741,small blue 93,2
b_742,small green 93,2
b_743,small yellow 93,2
b_744,large red 94,2
b_745,large blue 94,2
b_746,large green 94,2
b_747,large yellow 94,2
b_748,small red 94,2
b_749,small blue 94,2
b_750,small green 94,2
b_751,small yellow 94,2
b_752,large red 95,2
b_753,large blue 95,2
b_754,large green 95,2
b_755,large yellow 95,2
b_756,small red 95,2
b_757,small blue 95,2
b_758,small green 95,2
b_759,small yellow 95,2
b_760,large red 96,2
b_761,large blue 96,2
b_762,large green 96,2
b_763,large yellow 96,2
b_764,small red 96,2
b_765,small blue 96,2
b_766,small green 96,2
b_767,small yellow 96,2
b_768,large red 97,2
b_769,large blue 97,2
b_770,large green 97,2
b_771,large yellow 97,2
b_772,small red 97,2
b_773,small blue 97,2
b_774,small green 97,2
b_775,small yellow 97,2
b_776,large red 98,2
b_777,large blue 98,2
b_778,large green 98,2
b_779,large yellow 98,2
b_780,small red 98,2
b_781,small blue 98,2
b_782,small green 98,2
b_783,small yellow 98,2
b_784,large red 99,2
b_785,large blue 99,2
b_786,large green 99,2
b_787,large yellow 99,2
b_788,small red 99,2
b_789,small blue 99,2
b_790,small green 99,2
b_791,small yellow 99,2
b_792,large red 754,3
b_793,large blue 754,3
b_794,large green 754,3
b_795,large yellow 754,3
b_796,small red 754,3
b_797,small blue 754,3
b_798,small green 754,3
b_799,small yellow 754,3
b_800,large red 214,3
b_801,large blue 214,3
b_802,large green 214,3
b_803,large yellow 214,3
b_804,small red 214,3
b_805,small blue 214,3
b_806,small green 214,3
b_807,small yellow 214,3
b_808,large red 125,3
b_809,large blue 125,3
b_810,large green 125,3
b_811,large yellow 125,3
b_812,small red 125,3
b_813,small blue 125,3
b_814,small green 125,3
b_815,small yellow 125,3
b_816,large red 859,3
b_817,large blue 859,3
b_818,large green 859,3
b_819,large yellow 859,3
b_820,small red 859,3
b_821,small blue 859,3
b_822,small green 859,3
b_823,small yellow 859,3
b_824,large red 381,3
b_825,large blue 381,3
b_826,large green 381,3
b_827,large yellow 381,3
b_828,small red 381,3
b_829,small blue 381,3
b_830,small green 381,3
b_831,small yellow 381,3
b_832,large red 350,3
b_833,large blue 350,3
b_834,large green 350,3
b_835,large yellow 350,3
b_836,small red 350,3
b_837,small blue 350,3
b_838,small green 350,3
b_839,small yellow 350,3
b_840,large red 328,3
b_841,large blue 328,3
b_842,large green 328,3
b_843,large yellow 328,3
b_844,small red 328,3
b_845,small blue 328,3
b_846,small green 328,3
b_847,small yellow 328,3
b_848,large red 242,3
b_849,large blue 242,3
b_850,large green 242,3
b_851,large yellow 242,3
b_852,small red 242,3
b_853,small blue 242,3
b_854,small green 242,3
b_855,small yellow 242,3
b_856,large red 854,3
b_857,large blue 854,3
b_858,large green 854,3
b_859,large yellow 854,3
b_860,small red 854,3
b_861,small blue 854,3
b_862,small green 854,3
b_863,small yellow 854,3
b_864,large red 204,3
b_865,large blue 204,3
b_866,large green 204,3
b_867,large yellow 204,3
b_868,small red 204,3
b_869,small blue 204,3
b_870,small green 204,3
b_871,small yellow 204,3
b_872,large red 792,3
b_873,large blue 792,3
b_874,large green 792,3
b_875,large yellow 792,3
b_876,small red 792,3
b_877,small blue 792,3
b_878,small green 792,3
b_879,small yellow 792,3
b_880,large red 858,3
b_881,large blue 858,3
b_882,large green 858,3
b_883,large yellow 858,3
b_884,small red 858,3
b_885,small blue 858,3
b_886,small green 858,3
b_887,small yellow 858,3
b_888,large red 658,3
b_889,large blue 658,3
b_890,large green 658,3
b_891,large yellow 658,3
b_892,small red 658,3
b_893,small blue 658,3
b_894,small green 658,3
b_895,small yellow 658,3
b_896,large red 189,3
b_897,large blue 189,3
b_898,large green 189,3
b_899,large yellow 189,3
b_900,small red 189,3
b_901,small blue 189,3
b_902,small green 189,3
b_903,small yellow 189,3
b_904,large red 704,3
b_905,large blue 704,3
b_906,large green 704,3
b_907,large yellow 704,3
b_908,small red 704,3
b_909,small blue 704,3
b_910,small green 704,3
b_911,small yellow 704,3
b_912,large red 532,3
b_913,large blue 532,3
b_914,large green 532,3
b_915,large yellow 532,3
b_916,small red 532,3
b_917,small blue 532,3
b_918,small green 532,3
b_919,small yellow 532,3
b_920,large red 132,3
b_921,large blue 132,3
b_922,large green 132,3
b_923,large yellow 132,3
b_924,small red 132,3
b_925,small blue 132,3
b_926,small green 132,3
b_927,small yellow 132,3
b_928,large red 130,3
b_929,large blue 130,3
b_930,large green 130,3
b_931,large yellow 130,3
b_932,small red 130,3
b_933,small blue 130,3
b_934,small green 130,3
b_935,small yellow 130,3
b_936,large red 195,3
b_937,large blue 195,3
b_938,large green 195,3
b_939,large yellow 195,3
b_940,small red 195,3
b_941,small blue 195,3
b_942,small green 195,3
b_943,small yellow 195,3
b_944,large red 323,3
b_945,large blue 323,3
b_946,large green 323,3
b_947,large yellow 323,3
b_948,small red 323,3
b_949,small blue 323,3
b_950,small green 323,3
b_951,small yellow 323,3
b_952,large red 338,3
b_953,large blue 338,3
b_954,large green 338,3
b_955,large yellow 338,3
b_956,small red 338,3
b_957,small blue 338,3
b_958,small green 338,3
b_959,small yellow 338,3
b_960,large red 617,3
b_961,large blue 617,3
b_962,large green 617,3
b_963,large yellow 617,3
b_964,small red 617,3
b_965,small blue 617,3
b_966,small green 617,3
b_967,small yellow 617,3
b_968,large red 716,3
b_969,large blue 716,3
b_970,large green 716,3
b_971,large yellow 716,3
b_972,small red 716,3
b_973,small blue 716,3
b_974,small green 716,3
b_975,small yellow 716,3
b_976,large red 127,3
b_977,large blue 127,3
b_978,large green 127,3
b_979,large yellow 127,3
b_980,small red 127,3
b_981,small blue 127,3
b_982,small green 127,3
b_983,small yellow 127,3
b_984,large red 674,3
b_985,large blue 674,3
b_986,large green 674,3
b_987,large yellow 674,3
b_988,small red 674,3
b_989,small blue 674,3
b_990,small green 674,3
b_991,small yellow 674,3
b_992,large red 303,3
b_993,large blue 303,3
b_994,large green 303,3
b_995,large yellow 303,3
b_996,small red 303,3
b_997,small blue 303,3
b_998,small green 303,3
b_999,small yellow 303,3
b_1000,large red 833,3
b_1001,large blue 833,3
b_1002,large green 833,3
b_1003,large yellow 833,3
b_1004,small red 833,3
b_1005,small blue 833,3
b_1006,small green 833,3
b_1007,small yellow 833,3
b_1008,large red 765,3
b_1009,large blue 765,3
b_1010,large green 765,3
b_1011,large yellow 765,3
b_1012,small red 765,3
b_1013,small blue 765,3
b_1014,small green 765,3
b_1015,small yellow 765,3
b_1016,large red 818,3
b_1017,large blue 818,3
b_1018,large green 818,3
b_1019,large yellow 818,3
b_1020,small red 818,3
b_1021,small blue 818,3
b_1022,small green 818,3
b_1023,small yellow 818,3
b_1024,large red 987,3
b_1025,large blue 987,3
b_1026,large green 987,3
b_1027,large yellow 987,3
b_1028,small red 987,3
b_1029,small blue 987,3
b_1030,small green 987,3
b_1031,small yellow 987,3
b_1032,large red 529,3
b_1033,large blue 529,3
b_1034,large green 529,3
b_1035,large yellow 529,3
b_1036,small red 529,3
b_1037,small blue 529,3
b_1038,small green 529,3
b_1039,small yellow 529,3
b_1040,large red 325,3
b_1041,large blue 325,3
b_1042,large green 325,3
b_1043,large yellow 325,3
b_1044,small red 325,3
b_1045,small blue 325,3
b_1046,small green 325,3
b_1047,small yellow 325,3
b_1048,large red 559,3
b_1049,large blue 559,3
b_1050,large green 559,3
b_1051,large yellow 559,3
b_1052,small red 559,3
b_1053,small blue 559,3
b_1054,small green 559,3
b_1055,small yellow 559,3
b_1056,large red 703,3
b_1057,large blue 703,3
b_1058,large green 703,3
b_1059,large yellow 703,3
b_1060,small red 703,3
b_1061,small blue 703,3
b_1062,small green 703,3
b_1063,small yellow 703,3
b_1064,large red 384,3
b_1065,large blue 384,3
b_1066,large green 384,3
b_1067,large yellow 384,3
b_1068,small red 384,3
b_1069,small blue 384,3
b_1070,small green 384,3
b_1071,small yellow 384,3
b_1072,large red 928,3
b_1073,large blue 928,3
b_1074,large green 928,3
b_1075,large yellow 928,3
b_1076,small red 928,3
b_1077,small blue 928,3
b_1078,small green 928,3
b_1079,small yellow 928,3
b_1080,large red 106,3
b_1081,large blue 106,3
b_1082,large green 106,3
b_1083,large yellow 106,3
b_1084,small red 106,3
b_1085,small blue 106,3
b_1086,small green 106,3
b_1087,small yellow 106,3
b_1088,large red 877,3
b_1089,large blue 877,3
b_1090,large green 877,3
b_1091,large yellow 877,3
b_1092,small red 877,3
b_1093,small blue 877,3
b_1094,small green 877,3
b_1095,small yellow 877,3
b_1096,large red 925,3
b_1097,large blue 925,3
b_1098,large green 925,3
b_1099,large yellow 925,3
b_1100,small red 925,3
b_1101,small blue 925,3
b_1102,small green 925,3
b_1103,small yellow 925,3
b_1104,large red 263,3
b_1105,large blue 263,3
b_1106,large green 263,3
b_1107,large yellow 263,3
b_1108,small red 263,3
b_1109,small blue 263,3
b_1110,small green 263,3
b_1111,small yellow 263,3
b_1112,large red 814,3
b_1113,large blue 814,3
b_1114,large green 814,3
b_1115,large yellow 814,3
b_1116,small red 814,3
b_1117,small blue 814,3
b_1118,small green 814,3
b_1119,small yellow 814,3
b_1120,large red 984,3
b_1121,large blue 984,3
b_1122,large green 984,3
b_1123,large yellow 984,3
b_1124,small red 984,3
b_1125,small blue 984,3
b_1126,small green 984,3
b_1127,small yellow 984,3
b_1128,large red 448,3
b_1129,large blue 448,3
b_1130,large green 448,3
b_1131,large yellow 448,3
b_1132,small red 448,3
b_1133,small blue 448,3
b_1134,small green 448,3
b_1135,small yellow 448,3
b_1136,large red 965,3
b_1137,large blue 965,3
b_1138,large green 965,3
b_1139,large yellow 965,3
b_1140,small red 965,3
b_1141,small blue 965,3
b_1142,small green 965,3
b_1143,small yellow 965,3
b_1144,large red 259,3
b_1145,large blue 259,3
b_1146,large green 259,3
b_1147,large yellow 259,3
b_1148,small red 259,3
b_1149,small blue 259,3
b_1150,small green 259,3
b_1151,small yellow 259,3
b_1152,large red 320,3
b_1153,large blue 320,3
b_1154,large green 320,3
b_1155,large yellow 320,3
b_1156,small red 320,3
b_1157,small blue 320,3
b_1158,small green 320,3
b_1159,small yellow 320,3
b_1160,large red 881,3
b_1161,large blue 881,3
b_1162,large green 881,3
b_1163,large yellow 881,3
b_1164,small red 881,3
b_1165,small blue 881,3
b_1166,small green 881,3
b_1167,small yellow 881,3
b_1168,large red 444,3
b_1169,large blue 444,3
b_1170,large green 444,3
b_1171,large yellow 444,3
b_1172,small red 444,3
b_1173,small blue 444,3
